item_num,ele1,description,fabrication_id,item_size,inventory_type,season,season_yr,prod_line,sbu_id,ats,avail_date,warehouse_id,inv_status,cc_sort,company,item_image,item_description_long,commodity,commodity_description,item_num_display,wholesale,msrp,landed_cost,compute_0025,latest_receipt_date,body_number,image_file_path,ele2,ele3,ele4,ele5,item_class,collection_group_code,description
ABIGAIL,960,MULTI,,304  ,S,S ,2024,TJX ,CDL,800,02/01/2024,POE,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ABIGAIL.JPG,ABIGAIL BLOOMS 60/104 TABLECLOTH,TABLECLOTH,TABLECLOTH,ABIGAIL-960-304,0,0,3.09,A,,IGAI,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,304, , , ,FG  ,IN/OUT    ,IN/OUT TC
ABIGAIL,960,MULTI,,308  ,S,S ,2024,TJX ,CDL,600,02/01/2024,POE,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ABIGAIL.JPG,ABIGAIL BLOOMS 70 ROUND,TABLECLOTH,TABLECLOTH,ABIGAIL-960-308,0,0,2.67,A,,IGAI,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,308, , , ,FG  ,IN/OUT    ,IN/OUT TC
ADDIE,001,BLACK,,106  ,S,S ,2023,ROSS,CDL,0,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ADDIE.JPG,ADDIE 1PC  SHOWER CURTAIN WITH 12 BUTTON,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,ADDIE-001-106,0,0,1.9,A,,DIE,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,106, , , ,FG  ,COR       ,CORE
ADDIE,001,BLACK,,106  ,S,S ,2023,ROSS,CDL,0,01/06/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ADDIE.JPG,ADDIE 1PC  SHOWER CURTAIN WITH 12 BUTTON,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,ADDIE-001-106,0,0,1.9,A,,DIE,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,106, , , ,FG  ,COR       ,CORE
ADDIE,681,BLUSH,,106  ,S,S ,2023,ROSS,CDL,0,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ADDIE.JPG,ADDIE 1PC  SHOWER CURTAIN WITH 12 BUTTON,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,ADDIE-681-106,0,0,1.9,A,,DIE,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,106, , , ,FG  ,COR       ,CORE
ADDIE,681,BLUSH,,106  ,S,S ,2023,ROSS,CDL,0,01/06/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ADDIE.JPG,ADDIE 1PC  SHOWER CURTAIN WITH 12 BUTTON,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,ADDIE-681-106,0,0,1.9,A,,DIE,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,106, , , ,FG  ,COR       ,CORE
ADELINE,400,BLUE,,128  ,S,S ,2023,ROSS,CDL,40,11/02/2023,POE,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ADELINE.JPG,ADELINE  14PC PEVA SC SET,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,ADELINE-400-128,0,0,4.75,A,11/8/2023 00:00:00,ELIN,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,128, , , ,FG  ,,
AFTGW,400,BLUE,,106  ,S,F ,2021,ATH ,CDL,3200,05/06/2022,AZ ,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\AFTGW.JPG,AFTERGLOW METALLIC SHOWER CURTAIN- DUCK ,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,AFTGW-400-106,0,0,2.82,A,,TGW,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,106, , , ,FG  ,,
AGATE,650,PINK,,106  ,S,F ,2021,ATH ,CDL,20,,AZ ,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\AGATE.JPG,AGATE PINK PRINTED SC,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,AGATE-650-106,0,0,3.18744,A,12/13/2021 00:00:00,ATE,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,106, , , ,FG  ,,
AHOME,100,WHITE,,120  ,S,S ,2023,ROSS,CDL,0,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\AHOME.JPG,ASANA HOME 72X72 SC WITH HOOKS,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,AHOME-100-120,0,0,1.11,A,11/6/2023 00:00:00,OME,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,120, , , ,FG  ,,
AHOME,100,WHITE,,120  ,S,S ,2023,ROSS,CDL,0,01/06/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\AHOME.JPG,ASANA HOME 72X72 SC WITH HOOKS,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,AHOME-100-120,0,0,1.11,A,11/6/2023 00:00:00,OME,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,120, , , ,FG  ,,
AHOME,100,WHITE,,120  ,S,S ,2023,ROSS,CDL,0,02/11/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\AHOME.JPG,ASANA HOME 72X72 SC WITH HOOKS,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,AHOME-100-120,0,0,1.11,A,11/6/2023 00:00:00,OME,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,120, , , ,FG  ,,
AHOME,132,FROSTY,,120  ,S,S ,2023,ROSS,CDL,0,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\AHOME.JPG,ASANA HOME 72X72 SC WITH HOOKS,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,AHOME-132-120,0,0,1.11,A,11/6/2023 00:00:00,OME,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,120, , , ,FG  ,,
AHOME,132,FROSTY,,120  ,S,S ,2023,ROSS,CDL,0,01/06/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\AHOME.JPG,ASANA HOME 72X72 SC WITH HOOKS,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,AHOME-132-120,0,0,1.11,A,11/6/2023 00:00:00,OME,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,120, , , ,FG  ,,
AHOME,132,FROSTY,,120  ,S,S ,2023,ROSS,CDL,0,02/11/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\AHOME.JPG,ASANA HOME 72X72 SC WITH HOOKS,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,AHOME-132-120,0,0,1.11,A,11/6/2023 00:00:00,OME,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,120, , , ,FG  ,,
AHOME,133,CLEAR,,120  ,S,S ,2023,ROSS,CDL,0,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\AHOME.JPG,ASANA HOME 72X72 SC WITH HOOKS,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,AHOME-133-120,0,0,1.22,A,11/6/2023 00:00:00,OME,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,120, , , ,FG  ,,
AHOME,133,CLEAR,,120  ,S,S ,2023,ROSS,CDL,0,01/06/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\AHOME.JPG,ASANA HOME 72X72 SC WITH HOOKS,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,AHOME-133-120,0,0,1.22,A,11/6/2023 00:00:00,OME,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,120, , , ,FG  ,,
